id_vivienda,precio,superficie,zona
1,287253.12,125.43,Norte
2,239612.45,112.10,Sur
3,315890.88,145.67,Este
4,185432.10,95.21,Oeste
5,255780.34,120.55,Centro
6,120450.67,85.34,Sur
7,298670.21,138.90,Norte
8,215340.56,105.12,Este
9,350210.99,160.45,Oeste
10,242100.43,118.76,Centro
11,268450.12,122.34,Norte
12,195670.87,100.45,Sur
13,325400.54,152.12,Este
14,210340.22,108.90,Oeste
15,248900.67,115.67,Centro
16,275120.34,130.21,Norte
17,160450.98,88.45,Sur
18,305670.11,142.34,Este
19,225340.89,112.56,Oeste
20,238450.45,116.78,Centro
21,292100.67,135.21,Norte
22,205670.22,102.34,Sur
23,340450.56,158.90,Este
24,198340.11,98.12,Oeste
25,252900.43,121.45,Centro
26,270120.87,128.67,Norte
27,175450.34,92.12,Sur
28,318670.56,148.45,Este
29,218340.99,110.34,Oeste
30,245450.12,119.89,Centro
